epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8406,0,101.882,0,0,0,0,0,0,229.8,0,4e-05,4e-05,4e-05
2,52.0671,0,100.997,0,0,0,0,0,0,229.997,0,9.901e-05,9.901e-05,9.901e-05
3,76.5739,0,99.3417,0,0,0,0,0,0,230.052,0,0.000156832,0.000156832,0.000156832
4,103.006,0,97.3688,0,0,0,0,0,0,229.882,0,0.000213466,0.000213466,0.000213466
5,129.354,0,94.7174,0,0,0,0,0,0,229.312,0,0.000268912,0.000268912,0.000268912
6,154.039,0,91.2865,0,0,0,0,0,0,229.114,0,0.00032317,0.00032317,0.00032317
7,177.884,0,89.0999,0,0,0,0,0,0,229.039,0,0.00037624,0.00037624,0.00037624
8,201.198,0,86.9533,0,0,0,0,0,0,228.462,0,0.000428122,0.000428122,0.000428122
9,224.906,0,84.5693,0,0,0,0,0,0,232.366,0,0.000478816,0.000478816,0.000478816
10,247.942,0,82.5277,0,0,0,0,0,0,231.846,0,0.000528322,0.000528322,0.000528322
11,271.945,0,79.987,0,0,0,0,0,0,225.267,0,0.00057664,0.00057664,0.00057664
12,298.508,0,77.8676,0,0,0,0,0,0,224.953,0,0.00062377,0.00062377,0.00062377
13,322.118,0,78.3314,0,0,0,0,0,0,211.787,0,0.000669712,0.000669712,0.000669712
14,345.004,0,73.6703,0,0,0,0,0,0,201.376,0,0.000714466,0.000714466,0.000714466
15,368.024,0,71.1618,0,0,0,0,0,0,208.339,0,0.000758032,0.000758032,0.000758032
16,391.87,0,68.8313,0,0,0,0,0,0,209.612,0,0.00080041,0.00080041,0.00080041
17,415.213,0,67.035,0,0,0,0,0,0,207.341,0,0.0008416,0.0008416,0.0008416
18,439.811,0,66.4395,0,0,0,0,0,0,208.99,0,0.000881602,0.000881602,0.000881602
19,463.717,0,63.8387,0,0,0,0,0,0,206.972,0,0.000920416,0.000920416,0.000920416
20,490.773,0,62.556,0,0,0,0,0,0,204.791,0,0.000958042,0.000958042,0.000958042
21,517.536,0,61.1988,0,0,0,0,0,0,390.516,0,0.00099448,0.00099448,0.00099448
22,544.07,0,59.609,0,0,0,0,0,0,3675.37,0,0.00102973,0.00102973,0.00102973
23,569.133,0,58.547,0,0,0,0,0,0,17494.3,0,0.00106379,0.00106379,0.00106379
24,595.7,0,57.1768,0,0,0,0,0,0,3025.07,0,0.00109667,0.00109667,0.00109667
25,622.623,0,56.7134,0,0,0,0,0,0,1131.11,0,0.00112835,0.00112835,0.00112835
26,648.405,0,56.1676,0,0,0,0,0,0,29946,0,0.00115885,0.00115885,0.00115885
27,679.959,0,55.1499,0,0,0,0,0,0,65755.7,0,0.00118816,0.00118816,0.00118816
28,709.981,0,54.1611,0,0,0,0,0,0,367281,0,0.00121628,0.00121628,0.00121628
29,738.44,0,53.3338,0,0,0,0,0,0,367281,0,0.00124322,0.00124322,0.00124322
30,765.487,0,52.7932,0,0,0,0,0,0,236364,0,0.00126896,0.00126896,0.00126896
31,793.869,0,52.087,0,0,0,0,0,0,302834,0,0.00129352,0.00129352,0.00129352
32,823.218,0,51.1841,0,0,0,0,0,0,532711,0,0.00131689,0.00131689,0.00131689
33,851.106,0,50.4525,0,0,0,0,0,0,532711,0,0.00133907,0.00133907,0.00133907
34,878.673,0,50.0427,0,0,0,0,0,0,36073.9,0,0.0013466,0.0013466,0.0013466
35,906.554,0,49.5264,0,0,0,0,0,0,11706.8,0,0.0013268,0.0013268,0.0013268
36,935.275,0,48.5679,0,0,0,0,0,0,600.267,0,0.001307,0.001307,0.001307
37,962.221,0,47.7623,0,0,0,0,0,0,600.267,0,0.0012872,0.0012872,0.0012872
38,989.647,0,47.2685,0,0,0,0,0,0,341.068,0,0.0012674,0.0012674,0.0012674
39,1015.23,0,46.6403,0,0,0,0,0,0,392.538,0,0.0012476,0.0012476,0.0012476
40,1039.06,0,45.9265,0,0,0,0,0,0,956.34,0,0.0012278,0.0012278,0.0012278
41,1066.39,0,45.0903,0,0,0,0,0,0,956.34,0,0.001208,0.001208,0.001208
42,1093.9,0,44.4811,0,0,0,0,0,0,804.55,0,0.0011882,0.0011882,0.0011882
43,1123.21,0,44.0934,0,0,0,0,0,0,1318.91,0,0.0011684,0.0011684,0.0011684
44,1152.97,0,43.4546,0,0,0,0,0,0,102.028,0,0.0011486,0.0011486,0.0011486
45,1183.11,0,42.5259,0,0,0,0,0,0,102.028,0,0.0011288,0.0011288,0.0011288
46,1212.29,0,42.1194,0,0,0,0,0,0,181.176,0,0.001109,0.001109,0.001109
47,1238.34,0,41.7166,0,0,0,0,0,0,171.796,0,0.0010892,0.0010892,0.0010892
48,1264.4,0,41.1571,0,0,0,0,0,0,89.3342,0,0.0010694,0.0010694,0.0010694
49,1290.93,0,40.1508,0,0,0,0,0,0,89.3342,0,0.0010496,0.0010496,0.0010496
50,1321.3,0,39.833,0,0,0,0,0,0,111.819,0,0.0010298,0.0010298,0.0010298
51,1350.81,0,39.6488,0,0,0,0,0,0,177.481,0,0.00101,0.00101,0.00101
52,1376.74,0,38.6911,0,0,0,0,0,0,2524.05,0,0.0009902,0.0009902,0.0009902
53,1404.68,0,38.0245,0,0,0,0,0,0,2524.05,0,0.0009704,0.0009704,0.0009704
54,1434.43,0,37.8401,0,0,0,0,0,0,11710.9,0,0.0009506,0.0009506,0.0009506
55,1463.28,0,37.392,0,0,0,0,0,0,7951.94,0,0.0009308,0.0009308,0.0009308
56,1490.53,0,36.9284,0,0,0,0,0,0,3241.63,0,0.000911,0.000911,0.000911
57,1517.96,0,36.3454,0,0,0,0,0,0,3241.63,0,0.0008912,0.0008912,0.0008912
58,1546.07,0,35.9207,0,0,0,0,0,0,647.916,0,0.0008714,0.0008714,0.0008714
59,1572.49,0,35.5865,0,0,0,0,0,0,158.408,0,0.0008516,0.0008516,0.0008516
60,1601.28,0,35.0822,0,0,0,0,0,0,225.958,0,0.0008318,0.0008318,0.0008318
61,1627.84,0,34.5538,0,0,0,0,0,0,225.958,0,0.000812,0.000812,0.000812
62,1655.06,0,34.1312,0,0,0,0,0,0,415.807,0,0.0007922,0.0007922,0.0007922
63,1681.27,0,33.8766,0,0,0,0,0,0,315.667,0,0.0007724,0.0007724,0.0007724
64,1711.83,0,33.4834,0,0,0,0,0,0,149.261,0,0.0007526,0.0007526,0.0007526
65,1737.82,0,32.8998,0,0,0,0,0,0,149.261,0,0.0007328,0.0007328,0.0007328
66,1765.84,0,32.7181,0,0,0,0,0,0,103.29,0,0.000713,0.000713,0.000713
67,1792.53,0,32.3876,0,0,0,0,0,0,145.214,0,0.0006932,0.0006932,0.0006932
68,1818.29,0,31.9392,0,0,0,0,0,0,508.059,0,0.0006734,0.0006734,0.0006734
69,1844.01,0,31.6059,0,0,0,0,0,0,508.059,0,0.0006536,0.0006536,0.0006536
70,1873.88,0,31.2759,0,0,0,0,0,0,647.119,0,0.0006338,0.0006338,0.0006338
71,1899.28,0,31.1059,0,0,0,0,0,0,135.974,0,0.000614,0.000614,0.000614
72,1931.36,0,30.8134,0,0,0,0,0,0,68.4608,0,0.0005942,0.0005942,0.0005942
73,1962.09,0,30.3822,0,0,0,0,0,0,68.4608,0,0.0005744,0.0005744,0.0005744
74,1990.98,0,30.3203,0,0,0,0,0,0,68.2703,0,0.0005546,0.0005546,0.0005546
75,2015.11,0,29.9686,0,0,0,0,0,0,67.8884,0,0.0005348,0.0005348,0.0005348
76,2039.69,0,29.8268,0,0,0,0,0,0,67.4331,0,0.000515,0.000515,0.000515
77,2064.46,0,29.4965,0,0,0,0,0,0,67.4331,0,0.0004952,0.0004952,0.0004952
78,2093.36,0,29.3968,0,0,0,0,0,0,66.9173,0,0.0004754,0.0004754,0.0004754
79,2117.78,0,29.2567,0,0,0,0,0,0,66.6915,0,0.0004556,0.0004556,0.0004556
80,2143.32,0,29.0673,0,0,0,0,0,0,66.543,0,0.0004358,0.0004358,0.0004358
81,2168.27,0,29.0222,0,0,0,0,0,0,66.543,0,0.000416,0.000416,0.000416
82,2192.86,0,28.6674,0,0,0,0,0,0,66.1557,0,0.0003962,0.0003962,0.0003962
83,2216.38,0,28.593,0,0,0,0,0,0,65.6964,0,0.0003764,0.0003764,0.0003764
84,2243.83,0,28.2593,0,0,0,0,0,0,65.052,0,0.0003566,0.0003566,0.0003566
